SLV spot evolve sweep (2024-01-08 -> 2026-01-08, use_rth=False, bar_size=10 mins, offline=True, base=champion, axis=exit_pivot, jobs=12, long_only=False realism=v2 spread=0.01 comm=0.005 comm_min=1 slip=0 sizing=risk_pct risk=0.01 max_notional=0.5)

=== exit_pivot: seeded exit pivot micro-grid ===
- seeds_in_file=80 selected=1 seed_top=2
- seed_path=backtests/slv/slv_exec5m_seed_v25_as_10m_full24_top80.json

exit_pivot tested=100 kept=77 rate=0.5/s
exit_pivot tested=200 kept=157 rate=0.5/s

exit_pivot (seeded exit pivot) — Top by pnl/dd
----------------------------------------------
10. tr=2112 win= 48.8% pnl=  -50525.3 dd= 51062.7 pnl/dd= -0.99 roi=-50.53% dd%= 51.06% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=0 only_profit=0 | PT=0.006 SL=0.008
11. tr=2091 win= 49.3% pnl=  -50643.4 dd= 51180.8 pnl/dd= -0.99 roi=-50.64% dd%= 51.18% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=0 only_profit=1 | PT=0.006 SL=0.008
12. tr=2461 win= 73.1% pnl=  -51881.5 dd= 52207.0 pnl/dd= -0.99 roi=-51.88% dd%= 52.21% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=0 only_profit=1 | PT=0.003 SL=0.012
13. tr=3018 win= 59.3% pnl=  -52319.3 dd= 55127.2 pnl/dd= -0.95 roi=-52.32% dd%= 55.13% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=2 close_eod=0 only_profit=0 | PT=0.006 SL=0.012
14. tr=2509 win= 72.0% pnl=  -52603.6 dd= 53243.5 pnl/dd= -0.99 roi=-52.60% dd%= 53.24% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=0 only_profit=0 | PT=0.003 SL=0.012
15. tr=2303 win= 46.6% pnl=  -53424.6 dd= 53969.6 pnl/dd= -0.99 roi=-53.42% dd%= 53.97% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=1 only_profit=1 | PT=0.006 SL=0.008
16. tr=2305 win= 46.5% pnl=  -53615.0 dd= 54160.0 pnl/dd= -0.99 roi=-53.61% dd%= 54.16% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=1 only_profit=0 | PT=0.006 SL=0.008
17. tr=2321 win= 63.2% pnl=  -55454.6 dd= 55880.4 pnl/dd= -0.99 roi=-55.45% dd%= 55.88% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=0 only_profit=1 | PT=0.004 SL=0.01
18. tr=2554 win= 42.2% pnl=  -55744.4 dd= 56288.5 pnl/dd= -0.99 roi=-55.74% dd%= 56.29% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=0 only_profit=0 | PT=0.006 SL=0.006
19. tr=2546 win= 42.5% pnl=  -55977.7 dd= 56521.7 pnl/dd= -0.99 roi=-55.98% dd%= 56.52% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=0 only_profit=1 | PT=0.006 SL=0.006
20. tr=2354 win= 62.6% pnl=  -55987.4 dd= 56413.2 pnl/dd= -0.99 roi=-55.99% dd%= 56.41% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=0 only_profit=0 | PT=0.004 SL=0.01
21. tr=2773 win= 66.3% pnl=  -56539.6 dd= 56863.3 pnl/dd= -0.99 roi=-56.54% dd%= 56.86% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=1 only_profit=1 | PT=0.003 SL=0.012
22. tr=2779 win= 66.2% pnl=  -56636.5 dd= 56960.2 pnl/dd= -0.99 roi=-56.64% dd%= 56.96% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=1 only_profit=0 | PT=0.003 SL=0.012
23. tr=2724 win= 40.9% pnl=  -57645.1 dd= 58188.3 pnl/dd= -0.99 roi=-57.65% dd%= 58.19% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=1 only_profit=1 | PT=0.006 SL=0.006
24. tr=2727 win= 40.8% pnl=  -57818.7 dd= 58361.5 pnl/dd= -0.99 roi=-57.82% dd%= 58.36% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=1 only_profit=0 | PT=0.006 SL=0.006
25. tr=2575 win= 58.4% pnl=  -58464.6 dd= 58886.3 pnl/dd= -0.99 roi=-58.46% dd%= 58.89% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] | max_open=1 close_eod=1 only_profit=1 | PT=0.004 SL=0.01
Wrote backtests/slv/slv_exec5m_v33_exit_pivot_seedv25_10m_2y_milestones_20260206_213020.json (240 eligible presets).
